risk_id,risk_description,owasp_llm_category,nist_rmf_function,impact_1_5,likelihood_1_5,risk_score,mitigation,owner,kri,detection_signal
1,Prompt injection via data fields (e.g. product descriptions),LLM01,Manage,5,3,15,Treat all row-level data as untrusted input; strip/neutralize embedded instructions before they reach the model; Guardrail blocks any output that echoes an instruction found in data. Tested against both quoted and unquoted injection attempts (eval ID10).,AI/ML Eng,"Injection-category eval pass rate, target 100%, currently 100% (Step 4).",Any single injection-eval failure in a pre-deploy run; any live report of the model appearing to follow instructions from a data field instead of the user.
2,Sensitive-info disclosure / PII surfaced to an unauthorized user,LLM02/06,Manage,5,3,15,"access_policy gate plus pii_classifier on every Guardrail pass. Hardened twice from live red-teaming in Step 4: once because the model suggested self-authorization bypass phrases, once because the categorical refusal only surfaced after three escalating attempts instead of the first response.",Security/Compliance (with AI/ML Eng on Guardrail logic),"0 PII leaks in periodic audit sample; adversarial/PII eval pass rate, target 100%, currently 100%.",Any PII field appearing in a delivered answer during audit sampling; any refusal that takes more than one turn to trigger.
3,Excessive agency - agent writes/deletes data instead of read-only,LLM08,Govern,5,1,5,"warehouse.query is provisioned SELECT-only at the database credential level, not just a prompt instruction. No DROP/UPDATE/DELETE/INSERT is possible regardless of what the model attempts.",Data Eng,0 non-SELECT calls attempted.,"Any non-SELECT statement appearing in query logs. This should be structurally impossible, so even one occurrence is a P0 incident."
4,Over-reliance on a confidently wrong number,LLM09,Measure,5,3,15,"Four independent confidence triggers (validator disagreement, unresolved ambiguity, cross-check discrepancy, query timeout), Validator's independent second calculation path, mandatory show-the-SQL on every answer.",PM,"Eval accuracy, target >=85% overall / 100% adversarial, currently 100% on 20/20 (Step 4).",Any eval regression below the 85% overall or 100% adversarial bar on a pre-deploy run; any user-reported number that does not reconcile against a manual pull.
5,Data-access / authorization failure - wrong user sees wrong data,LLM02/06,Map,4,2,8,"access_policy gate scoped per requesting user's role. Board-level numbers are withheld outright, not just flagged, per the Step 4 hardened rule.",IT/Security with PM,0 unauthorized cross-scope data exposures in audit sample.,Any answer containing data outside the requester's documented role or permission scope.
6,"Semantic layer / instructions drift - a rule is documented but not pasted into the live system prompt, so the model's actual behavior diverges from what is written and tested",LLM09,Measure,4,4,16,"Any new business rule or metric definition gets written into context-and-tools.md, the live system prompt, and eval-set.csv in the same edit, checked in that order, before the fix is considered done. Per the Step 4 lesson.",PM,"Count of ""found live, not in spec"" incidents per quarter, target trending to 0. 3 occurred during initial build (ID13, ID14, ID15).",Any eval case that fails on first live test after passing a written spec review; any live answer that contradicts a rule documented elsewhere.
7,Validator cross-check tolerance miscalibrated - the +/-2% / +/-2 unit bands let a genuinely wrong number pass silently,LLM09,Measure,4,2,8,"Tolerances are explicitly labeled as assumptions in the PRD. Recalibrate against real production variance once live data exists, before removing the assumption label.",Data Eng with PM,Cross-check discrepancy rate observed in production vs. the +/-2% / +/-2 unit band.,Any manually-audited answer found wrong that the cross-check did not flag.
8,warehouse.query cost/performance runaway from an overly broad question that slips past the Planner's flag,LLM04,Manage,3,3,9,"Planner flags obviously broad questions (many variables, long time ranges, multiple groupings) before they run and offers to narrow scope; warehouse.query's 10-second timeout caps worst-case cost per call.",Data Eng,Cost per question at current volume tier vs. the Step 6 cost model projection; count of timeout escalations per week.,Sustained rise in cost-per-question or timeout-escalation rate above the Step 6 baseline.
9,Model/vendor API outage or deprecation breaks answering or silently changes behavior,LLM05,Govern,3,2,6,Model choice kept swappable behind the Planner's routing layer rather than hardcoded; monitor the vendor's status page and deprecation notices.,AI/ML Eng,Model API uptime/error rate; days' notice before a deprecation deadline.,Spike in model API error responses; a deprecation notice for the in-use model version.
10,Insufficient observability/audit trail - an incident cannot be reconstructed or proven compliant after the fact,"LLM02 (adjacent; not a direct OWASP-LLM match, this is a governance/traceability gap)",Govern,4,3,12,"Log question, plan, SQL, tables used, confidence, latency, and cost on every single answer (per Step 6), retained long enough to reconstruct any incident.",Data Eng with PM,"Percent of answers with a complete trace logged, target 100%.",Any answer missing one or more required trace fields in a periodic log audit.
11,"Stale or cached result served as current - prior_results_cache misapplied to an open, still-accumulating period",LLM09,Manage,4,2,8,"prior_results_cache is scoped to closed periods only by design; open, still-accumulating periods are never read from cache.",Data Eng,0 cache reads against an open period.,Any cache hit whose underlying period is still accumulating data at read time.
